Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
HIL,"Hill International, Inc.",Services,Management Services,USA,220.49,54.75,12.7,2.19,0.37,1.33,7.4,,,0.00%,0.08,105.50%,315.66%,-37.80%,25.00%,8.70%,100.00%,7.50%,50.34,36.88,21.70%,-0.69%,38.20%,13.15%,1.85%,1.88,0.60%,2.10%,10.00%,1.7,1.7,0.64,1.04,38.70%,5.00%,0.50%,-7.59%,3.06%,-34.14%,-2.45%,50.52%,10.89%,1.61,0.25,5.24%,4.81%,-0.69%,-14.16%,-12.60%,-31.91%,10.95%,-41.08%,59.29%,42.92,1.83%,0.00%,2,362.64,1.2,4.46,1.83%,256706,8/4/2014
HILL,Dot Hill Systems Corp.,Technology,Data Storage Devices,USA,217.37,36,12.54,1.8,1.03,4.34,,241.52,,0.00%,0.1,150.00%,73.94%,16.70%,20.00%,-5.40%,0.00%,8.30%,60.38,59.02,0.70%,7.64%,54.60%,10.63%,2.99%,3.82,4.90%,10.30%,11.30%,2.1,1.9,0,0,31.80%,2.70%,2.20%,1.69%,-13.04%,-15.89%,-39.60%,57.89%,6.82%,1.99,0.18,4.59%,5.35%,0.97%,-11.10%,-10.21%,-26.98%,8.76%,-40.59%,76.47%,43.58,0.28%,-0.28%,1.8,462.51,0.3,3.6,0.00%,81379,8/7/2014
HILO,EGShares Low Volatility EM Dividend ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40%,2.11%,3.44%,11.94%,6.47%,1.51%,,0.13,0.24%,0.40%,1.74%,1.70%,5.26%,-0.40%,4.70%,-5.90%,15.69%,60.77,-0.06%,-0.29%,,14.68,0.45,17.38,-0.34%,3860,
HIMX,"Himax Technologies, Inc.",Technology,Semiconductor - Specialized,Taiwan,1495.55,16.55,16.96,0.69,1.92,1.69,8.65,,3.08%,94.30%,0.53,20.00%,12.88%,-2.10%,23.85%,-1.50%,154.50%,-5.10%,170.53,148.7,12.38%,,14.90%,-40.27%,7.75%,2.42,8.90%,15.10%,9.90%,2,1.5,0,0.24,24.80%,9.30%,8.70%,6.95%,36.82%,46.41%,-36.13%,41.45%,-37.71%,2,0.34,3.21%,4.43%,10.08%,25.70%,-10.75%,-2.37%,51.75%,-44.05%,53.31%,74.09,-1.70%,0.34%,2.5,4760.65,0.68,8.65,-1.37%,1925665,2/3/2014
HIO,Western Asset High Income Opportunity Fund Inc.,Financial,Closed-End Fund - Debt,USA,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,-0.83%,3.46%,0.17%,2.75%,10.74%,5.84%,,0.06,0.81%,1.01%,1.64%,1.07%,2.74%,-1.04%,5.94%,-1.04%,12.48%,57.05,0.45%,-0.17%,,300.57,1.51,6,0.28%,267651,
HIVE,"Aerohive Networks, Inc.",Technology,Communication Equipment,USA,361.11,,,,2.89,5.34,3.48,,,,-0.71,-33.30%,65.50%,0.00%,20.00%,,12.50%,34.30%,45.71,44.8,2.20%,,20.50%,117.39%,2.74%,6.96,-35.60%,-209.10%,-150.20%,2.7,2.4,0.15,0.3,67.10%,-22.40%,-24.90%,-1.74%,-4.70%,-20.36%,,,-21.00%,,0.34,3.10%,4.79%,-6.47%,-4.69%,-13.62%,-21.45%,6.46%,-35.32%,6.46%,39.65,-0.63%,0.76%,1.5,176.28,0.61,7.91,0.13%,63901,8/6/2014 16:30
HIW,Highwoods Properties Inc.,Financial,REIT - Office,USA,3852.95,60.06,51.81,16.68,6.48,2.75,206.04,,3.99%,96.00%,0.71,45.50%,12.74%,8.80%,3.60%,4.60%,50.00%,15.20%,90.36,88.39,0.90%,-4.35%,,1.21%,5.81%,7.71,4.10%,11.00%,4.30%,,,1.49,1.49,62.80%,23.80%,26.50%,1.33%,2.48%,4.54%,13.80%,33.71%,21.72%,1.08,0.46,0.78%,1.08%,1.47%,2.12%,11.40%,-0.37%,4.37%,-0.37%,34.06%,61.78,0.31%,-0.12%,2.3,666.09,0.68,42.72,0.19%,266945,7/29/2014 16:30
HIX,Western Asset High Income Fund II Inc.,Financial,Closed-End Fund - Debt,USA,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,0.65%,3.34%,0.65%,3.23%,12.09%,9.19%,,0.08,0.58%,0.77%,0.94%,0.55%,3.04%,-1.05%,5.01%,-1.05%,13.55%,54.44,-0.21%,-0.11%,,202.59,1.18,9.24,-0.31%,140722,
HK,Halcon Resources Corp.,Basic Materials,Oil & Gas Drilling & Exploration,USA,2386.03,,21.94,,1.99,1.78,14.79,,,,-3.56,-257.10%,21.13%,10.10%,34.50%,37.20%,-325.00%,52.60%,421.56,288,2.10%,-34.63%,40.10%,17.68%,20.47%,8.67,-25.40%,-95.10%,-24.50%,0.7,0.7,2.61,2.61,77.60%,14.30%,,1.25%,2.72%,-6.45%,39.07%,19.41%,46.63%,0.93,0.27,3.57%,4.59%,5.24%,-7.30%,16.12%,-23.73%,15.09%,-23.73%,81.01%,50.61,1.24%,-0.18%,2.5,6796.86,1.73,5.72,1.06%,6961730,7/30/2014 16:30
HKOR,Horizons Korea KOSPI 200 ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16%,2.25%,1.46%,,,7.86%,,0.19,0.03%,0.11%,-0.52%,0.42%,2.53%,-2.18%,2.65%,-2.18%,12.16%,47.81,0.00%,-1.39%,,0.58,0.58,37.64,-1.39%,200,
HKTV,Hong Kong Television Network Limited,Services,Broadcasting - TV,Hong Kong,291.6,,,,291.6,0.68,2.19,,10.74%,6.40%,-0.13,43.50%,,-17.80%,,-64.10%,-120.80%,-99.50%,40.67,19.49,,,3.80%,1.11%,0.52%,9.06,109.50%,122.80%,-4.30%,2.4,2.4,0,0.16,-100.00%,,,-6.88%,8.14%,22.15%,-6.03%,16.02%,-20.51%,1.04,0.14,1.33%,1.00%,0.59%,7.32%,10.58%,-6.59%,19.50%,-26.82%,45.77%,55.19,0.00%,0.84%,,11.14,1.21,7.23,0.84%,7969,
HL,Hecla Mining Co.,Basic Materials,Silver,USA,1086.98,,52.71,,2.34,0.8,4.89,,0.32%,,-0.04,-260.00%,168.18%,26.00%,1.00%,13.30%,50.00%,37.70%,349.51,347,0.60%,173.75%,50.30%,-0.32%,5.15%,3.35,-0.60%,-1.10%,-1.40%,2.4,2,0.38,0.39,16.50%,-13.10%,-3.10%,-4.01%,-0.32%,11.87%,-11.14%,-11.40%,1.30%,1.58,0.09,2.02%,2.39%,-5.59%,-6.73%,-2.73%,-13.21%,0.83%,-18.51%,16.59%,37.19,-2.08%,0.32%,2.9,5338.06,0.89,3.06,-1.77%,2816206,7/31/2014 8:30
HLF,Herbalife Ltd.,Consumer Goods,Personal Products,Cayman Islands,4569.73,10.99,6.93,0.77,0.9,,5.91,9.5,2.41%,18.80%,4.53,24.60%,14.31%,23.90%,14.30%,15.40%,-2.20%,7.10%,91.78,82.27,1.80%,1.10%,92.80%,-6.05%,32.31%,10.8,18.20%,285.00%,36.80%,1.6,1.2,,,80.20%,13.60%,9.10%,0.61%,-2.94%,-23.15%,-24.87%,-16.11%,-36.45%,1.51,1.93,3.58%,3.05%,-2.15%,-13.65%,-21.71%,-28.61%,3.09%,-40.16%,3.09%,37,-0.04%,-0.04%,1.8,2461.43,0.27,49.75,-0.08%,386365,7/28/2014 16:30
HLIT,Harmonic Inc.,Technology,Communication Equipment,USA,608.69,,27.33,,1.32,1.54,4.53,12.37,,,-0.11,242.90%,73.57%,-21.50%,35.00%,4.80%,,-6.40%,91.67,89.93,0.70%,10.50%,82.50%,-2.05%,4.18%,4.86,-1.40%,-1.70%,4.40%,2.8,2.5,0,0,47.40%,-3.90%,-1.80%,1.84%,8.14%,-8.29%,-1.19%,-7.78%,-10.03%,2.07,0.22,3.57%,3.34%,8.93%,5.05%,-0.60%,-10.70%,20.85%,-17.09%,20.85%,62.86,3.17%,-0.15%,2.8,772.78,0.88,6.84,3.01%,401134,7/28/2014
HLS,HEALTHSOUTH Corp.,Healthcare,Specialized Health Services,USA,3444.28,27.26,17.64,3.04,1.5,8.23,52.34,15.98,2.14%,40.90%,1.44,57.60%,6.10%,2.40%,8.96%,5.70%,-53.60%,6.70%,87.73,85.49,2.10%,1.38%,92.80%,-1.82%,4.00%,8.36,6.00%,42.60%,25.10%,1.9,1.9,3.57,3.57,95.30%,20.80%,6.60%,-1.46%,1.42%,9.54%,20.17%,26.81%,19.04%,1.75,0.76,1.41%,1.47%,-1.93%,2.28%,11.75%,-8.42%,11.74%,-8.42%,31.60%,47.11,-0.99%,-0.08%,2.3,409,0.88,38.84,-1.07%,212615,7/28/2014 16:30
HLSS,"Home Loan Servicing Solutions, Ltd.",Financial,Mortgage Investment,Cayman Islands,1564.57,9.26,9.37,1.85,4.67,1.24,17.5,5.86,8.72%,77.20%,2.38,27.60%,-5.16%,0.00%,5.00%,,-6.60%,43.20%,71.02,69.99,2.87%,1.03%,89.40%,0.30%,8.69%,9.33,2.30%,13.70%,3.30%,,,5.26,5.26,,95.20%,50.60%,0.27%,6.53%,0.27%,9.33%,5.26%,1.66%,,0.34,1.25%,1.53%,3.58%,1.24%,4.35%,-3.77%,9.59%,-3.77%,19.73%,63.15,0.27%,0.27%,1.5,651.94,0.58,22.15,0.54%,221780,7/17/2014 8:30
HLT,Hilton Worldwide Holdings Inc.,Services,Lodging,USA,24891.19,43.59,30.68,1.98,2.46,5.15,45.67,15.63,,0.00%,0.58,25.00%,18.90%,0.00%,22.00%,,10.50%,-42.60%,984.62,971.4,,,93.50%,0.14%,0.71%,1.26,2.10%,13.60%,6.40%,1.1,1,2.52,2.55,,12.00%,5.50%,-1.44%,4.55%,11.02%,11.02%,,13.62%,,0.46,1.74%,1.65%,1.87%,3.46%,11.64%,-2.04%,13.81%,-2.04%,23.55%,58.15,0.04%,0.40%,2.2,5486.77,0.4,25.39,0.44%,1286904,8/1/2014 8:30
HLX,"Helix Energy Solutions Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,2878.08,14.98,14.06,1.25,2.86,1.77,5.74,,,0.00%,1.82,253.70%,10.30%,16.50%,12.00%,-16.10%,111.50%,31.60%,105.54,98.4,0.70%,-8.20%,93.20%,3.51%,3.65%,4.69,7.40%,12.50%,6.60%,3.2,3.2,0.33,0.34,32.20%,23.30%,19.10%,2.48%,8.69%,17.59%,16.74%,7.96%,17.64%,1.75,0.6,1.90%,2.18%,1.32%,2.89%,12.67%,-4.93%,11.90%,-4.93%,36.93%,53.2,-2.31%,-0.07%,1.8,764.85,0.75,26.62,-2.38%,338618,7/21/2014 16:30
HMC,"Honda Motor Co., Ltd.",Consumer Goods,Auto Manufacturers - Major,Japan,60996.91,10.65,8.71,0.79,0.53,1.05,5.64,,1.15%,25.00%,3.19,56.30%,13.54%,33.30%,13.50%,3.40%,19.70%,5.40%,1796.14,1810.46,,,2.60%,27.77%,0.15%,4.44,3.90%,10.30%,4.20%,1.2,0.9,0.54,0.98,26.00%,6.40%,5.10%,-0.93%,-1.57%,-2.69%,-8.02%,-6.50%,-17.87%,0.95,0.36,0.69%,0.79%,-0.38%,-2.06%,-6.50%,-5.62%,1.33%,-20.49%,4.86%,44.74,0.02%,0.09%,1,614.54,1.29,34,0.11%,467412,1/31/2011
HME,Home Properties Inc.,Financial,REIT - Residential,USA,3666.32,39.71,36.87,8.1,5.42,2.25,390.03,,4.57%,70.30%,1.61,35.50%,-6.77%,32.60%,4.90%,7.10%,-7.10%,3.70%,57.34,56.58,1.30%,1.08%,93.30%,-0.88%,2.59%,5.25,5.20%,14.10%,5.50%,,,1.31,1.48,63.40%,32.70%,33.90%,0.41%,0.02%,3.68%,7.88%,18.08%,23.56%,0.65,0.79,1.03%,1.11%,0.37%,0.01%,8.80%,-3.29%,3.47%,-3.29%,26.76%,51.15,-0.09%,-0.11%,2.7,279.8,0.67,63.81,-0.20%,111522,7/31/2014 16:30
HMG,HMG/Courtland Properties Inc.,Financial,REIT - Retail,USA,16.08,,,,232.34,0.69,1.16,,26.13%,,-1.09,-13.70%,,6.00%,,,32.00%,29.20%,1.05,0.28,3.50%,-9.82%,2.10%,113.47%,0.14%,0.17,-6.10%,-7.70%,,,,0,0.11,,,,9.91%,10.70%,9.36%,-14.94%,-8.05%,-14.94%,0.16,0.35,0.08%,0.76%,7.84%,6.31%,-5.79%,-12.91%,17.31%,-24.69%,17.31%,59.26,-0.39%,0.00%,,2.42,0.29,15.25,-0.39%,416,
HMHC,Houghton Mifflin Harcourt Company,Services,Education & Training Services,USA,2649.83,,31.8,,1.89,1.53,13.73,540.78,,,-0.68,-203.80%,942.90%,0.00%,10.00%,,180.00%,10.70%,140.5,140.4,0.10%,4.46%,,,2.70%,4.06,-3.30%,-5.30%,-4.30%,2.6,2,0.14,0.14,39.70%,-4.10%,-6.70%,-1.36%,7.53%,3.17%,-2.78%,,11.20%,,0.46,2.32%,2.61%,3.02%,3.86%,1.92%,-3.15%,11.21%,-9.29%,38.65%,58.25,1.01%,0.00%,2.1,932.27,0.28,19.05,1.01%,152626,8/14/2014 8:30
HMIN,Home Inns & Hotels Management Inc.,Services,Lodging,China,1563.51,31.78,16.27,2.22,1.57,2.05,7.21,110.89,,0.00%,1.03,780.00%,21.13%,132.50%,14.30%,27.60%,19.40%,6.10%,47.77,44.21,2.78%,,55.20%,-1.08%,1.14%,3.94,3.10%,6.80%,4.70%,1,1,0.5,0.51,19.60%,9.50%,4.90%,-4.63%,-8.40%,6.16%,-16.08%,-5.24%,-25.00%,1.4,0.94,2.55%,2.66%,-6.77%,-7.52%,-9.26%,-13.68%,-0.69%,-28.01%,19.77%,27.22,-2.60%,-0.24%,1.6,127.6,2.67,31.8,-2.84%,201547,8/12/2014 16:30
HMLP,Haegh LNG Partners LP,Services,Shipping,Bermuda,663.01,21.72,,,9.29,2.88,132.6,,,0.00%,1.16,862.50%,,,,,,237.20%,26.31,10.67,,,,,0.02%,0.01,38.30%,-390.00%,27.40%,0.9,0.9,,,16.90%,1.70%,65.50%,0.08%,,,,,13.26%,,0.93,3.20%,,-0.50%,-0.50%,-0.50%,-7.43%,12.78%,-7.43%,12.78%,,-2.43%,-0.24%,,487.85,0.12,24.53,-2.66%,35681,
HMN,Horace Mann Educators Corp.,Financial,Property & Casualty Insurance,USA,1217.67,11.76,11.54,0.93,1.17,0.96,27.24,6.32,3.09%,32.90%,2.53,6.00%,13.26%,58.00%,12.67%,2.80%,-23.80%,-0.50%,40.93,40.12,1.80%,16.25%,99.30%,0.04%,1.78%,5.54,1.20%,9.10%,9.40%,,,0.16,0.19,,23.90%,10.30%,-0.34%,3.55%,1.85%,4.61%,14.64%,-4.22%,1.46,0.46,1.54%,1.57%,0.93%,-0.06%,1.51%,-6.57%,4.80%,-6.57%,16.88%,52.51,-0.34%,0.17%,2.4,128.66,0.26,29.7,-0.17%,20018,7/23/2014 16:30
HMNF,HMN Financial Inc.,Financial,Savings & Loans,USA,55.52,4.13,,,2.61,0.79,0.27,3.39,,0.00%,3.01,564.00%,,32.30%,,-19.10%,65.50%,-13.80%,4.47,3.38,6.30%,8.47%,28.00%,-0.16%,0.06%,0.39,4.30%,46.40%,70.40%,,,0,0,,77.50%,,3.93%,4.81%,13.84%,-1.97%,63.42%,17.50%,0.32,0.39,2.00%,3.32%,3.70%,5.27%,11.82%,-1.83%,12.33%,-8.48%,65.77%,58.95,-1.44%,0.48%,,4.99,2.97,12.3,-0.97%,8756,1/21/2013
HMNY,Helios and Matheson Analytics Inc.,Technology,Information Technology Services,USA,8.59,45.88,,,0.66,2.09,9.54,,2.18%,192.30%,0.08,-11.10%,,15.50%,,-7.60%,-200.00%,-9.40%,2.34,0.36,84.66%,1.02%,0.10%,-86.51%,0.74%,0.32,5.70%,7.10%,9.10%,3.5,3.5,0,0,20.00%,1.50%,2.30%,3.38%,0.00%,-1.34%,-36.51%,-29.83%,-35.27%,0.65,0.22,2.63%,3.82%,-6.59%,-12.65%,-30.66%,-30.75%,5.26%,-63.46%,5.26%,35.78,-3.68%,-3.81%,,8.32,0.02,3.4,-7.36%,107,11/4/2013
HMPR,Hampton Roads Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks,USA,277.59,27.17,,,3.77,1.43,3.05,9.38,,0.00%,0.06,106.90%,,-4.73%,,11.20%,2682.00%,-8.70%,170.3,116.84,79.98%,0.01%,37.30%,5.86%,0.90%,11.38,0.50%,5.20%,29.50%,,,0.15,0.15,,17.90%,13.20%,-2.40%,-1.81%,-2.40%,3.16%,3.82%,-6.86%,2.51,0.05,3.06%,2.89%,-0.30%,-1.57%,-0.70%,-7.34%,4.46%,-14.58%,33.33%,47.77,0.00%,0.61%,,92.4,0.04,1.64,0.61%,1954,4/29/2014
HMST,"HomeStreet, Inc.",Financial,Savings & Loans,USA,267.6,21.71,6.75,,2.68,0.93,2.44,,,38.80%,0.83,-73.10%,86.06%,0.60%,,-11.90%,-59.60%,-36.40%,14.85,13.46,2.50%,4.50%,62.70%,1.17%,2.23%,6.76,0.40%,4.60%,18.90%,,,0.21,0.21,,20.70%,12.50%,-0.44%,4.65%,1.35%,-4.10%,-8.01%,-9.36%,,0.4,1.99%,1.91%,1.97%,1.00%,-2.70%,-5.41%,6.69%,-13.97%,10.05%,52.68,0.83%,0.00%,1,44.38,0.23,18.17,0.83%,5920,7/28/2014
HMSY,HMS Holdings Corp.,Services,Business Services,USA,1781.8,56.42,24.44,2.81,3.82,3.42,18.58,19.8,,0.00%,0.36,-21.10%,54.46%,10.80%,20.10%,21.70%,-41.70%,-10.50%,87.73,86.52,0.90%,18.28%,,4.11%,13.68%,12.13,3.70%,6.30%,7.00%,3.6,3.6,0.38,0.38,30.10%,12.80%,6.90%,-11.54%,7.23%,10.38%,0.49%,-16.07%,-10.53%,0.52,0.88,4.75%,4.21%,-1.35%,3.71%,3.07%,-11.29%,15.08%,-21.39%,38.48%,48.32,2.70%,0.25%,1.5,975.32,0.79,20.91,2.95%,454619,8/8/2014 8:30
HMTV,"Hemisphere Media Group, Inc.",Services,CATV Systems,USA,137.8,,29.15,,1.47,1.98,0.78,,,,-0.06,,14.71%,0.00%,,,120.00%,55.60%,12.12,10.96,9.20%,55.07%,87.00%,1.08%,3.72%,22.66,-1.00%,-1.70%,0.70%,8.3,8.3,0.7,0.71,61.80%,12.50%,-4.40%,-1.04%,-0.79%,4.22%,1.88%,-4.13%,-4.21%,,0.31,1.27%,2.89%,0.15%,-1.77%,-1.60%,-15.32%,3.45%,-20.68%,36.24%,47.35,-0.35%,0.53%,2,18.02,0.03,11.39,0.18%,319,8/12/2014
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold,South Africa,1270.67,,4.68,,0.83,0.42,6.69,,4.11%,,-0.86,-196.80%,50.36%,-25.90%,67.90%,6.40%,-96.00%,-75.30%,435.16,371.52,,,22.00%,-5.61%,0.49%,0.95,-9.10%,-12.00%,-7.80%,2.5,1.8,0.09,0.09,5.50%,-4.10%,-24.40%,-1.35%,-4.26%,11.45%,-10.43%,-19.11%,15.42%,0.34,0.08,1.76%,2.57%,-6.42%,-7.35%,-4.52%,-13.22%,-0.52%,-33.14%,21.49%,35.92,-2.56%,0.34%,1,1896.54,0.68,2.86,-2.23%,764529,10/31/2008
HNH,Handy & Harman Ltd.,Industrial Goods,Industrial Equipment & Components,USA,335.14,11.34,,,0.49,2.41,36.04,9.63,,0.00%,2.29,24.70%,,-5.90%,,-0.80%,10.50%,7.40%,12.91,11.91,6.60%,23.84%,87.60%,5.14%,0.91%,3.98,6.20%,26.70%,12.00%,2.4,1.5,1.08,1.18,28.10%,8.00%,4.80%,0.93%,12.58%,17.36%,34.37%,27.88%,7.23%,0.96,0.82,2.78%,2.75%,2.65%,3.43%,13.36%,-7.84%,22.27%,-7.84%,50.99%,54.93,-0.19%,0.23%,,27.35,0.87,25.97,0.04%,14054,7/31/2014
HNI,HNI Corp.,Consumer Goods,Business Equipment,USA,1718.89,24.51,17.07,1.36,0.83,3.94,53.38,47.75,2.62%,61.00%,1.56,29.90%,22.87%,4.00%,18.00%,-3.20%,-16.00%,-0.30%,44.95,44.46,1.20%,6.10%,68.10%,0.06%,2.81%,6.86,6.30%,16.40%,12.30%,1,0.7,0.34,0.43,35.30%,5.70%,3.50%,0.03%,8.45%,6.37%,7.30%,18.57%,0.55%,1.29,0.72,1.81%,1.88%,3.26%,3.73%,6.68%,-3.50%,12.69%,-3.50%,27.61%,60.54,0.91%,0.42%,3,182.01,0.49,38.75,1.33%,52755,7/16/2014 16:30
HNNA,"Hennessy Advisors, Inc.",Financial,Asset Management,USA,104.7,15.04,,,3.25,2.87,16.11,,0.92%,12.60%,1.16,388.20%,,24.30%,,18.70%,45.80%,35.40%,6,2.77,41.10%,2.15%,9.00%,0.75%,0.12%,0.58,9.50%,21.40%,12.00%,1.4,1.4,0.68,0.79,82.60%,39.80%,21.40%,-1.75%,9.34%,14.65%,49.27%,107.74%,49.79%,0.42,0.51,2.09%,3.36%,2.16%,10.72%,35.68%,-9.03%,28.13%,-9.03%,122.90%,63.8,0.39%,2.18%,,5.84,2.26,17.9,2.58%,7781,
HNP,"Huaneng Power International, Inc.",Utilities,Electric Utilities,China,14625.87,9.04,9.16,0.48,0.67,1.63,7.72,25.75,4.48%,554.00%,5.38,89.00%,-3.10%,33.70%,19.00%,14.40%,221.40%,-4.10%,300.82,75.89,,,2.50%,1.10%,0.55%,6,7.90%,34.30%,9.00%,0.3,0.3,1.25,2.38,96.40%,20.80%,15.40%,8.41%,6.65%,21.89%,46.93%,32.23%,41.46%,0.34,0.99,1.36%,1.16%,5.08%,5.99%,25.53%,-1.06%,20.19%,-1.06%,63.47%,61.49,-0.31%,0.51%,2.5,70.19,0.6,48.72,0.21%,24859,3/21/2011
HNR,Harvest Natural Resources Inc.,Basic Materials,Independent Oil & Gas,USA,195.34,,,,,0.66,11.1,,,,-3.15,-132.10%,-288.90%,-27.50%,,,-120.70%,,42.1,40.06,4.60%,-0.36%,62.80%,5.04%,12.96%,16.69,-20.30%,-37.30%,,0.3,0.3,0,0.02,,,,-2.93%,1.98%,-4.72%,11.27%,1.75%,2.65%,2.27,0.16,3.68%,3.29%,-2.74%,-0.37%,5.58%,-8.91%,9.81%,-22.70%,70.29%,45.86,0.86%,0.43%,2.5,311.03,0.53,4.7,1.29%,97095,8/11/2014
HNRG,Hallador Energy Company,Basic Materials,Nonmetallic Mineral Mining,USA,382.07,24.15,19.73,,2.55,2.02,16.76,1910.33,1.20%,29.10%,0.55,-3.60%,46.30%,11.70%,,17.00%,-64.30%,-5.40%,28.77,23.11,0.70%,-61.96%,63.60%,1.90%,1.13%,3.66,6.10%,8.60%,12.40%,3.7,2.9,0.08,0.08,33.90%,15.00%,10.60%,-1.04%,-5.08%,46.09%,62.94%,82.67%,66.83%,-0.12,0.4,3.33%,2.64%,-1.45%,6.59%,42.83%,-6.55%,42.81%,-6.55%,106.31%,51.41,0.52%,0.45%,1.3,71.59,0.37,13.41,0.98%,15564,11/5/2012
HNSN,"Hansen Medical, Inc.",Healthcare,Medical Appliances & Equipment,USA,141.32,,,,6.63,18,5.27,,,,-0.53,-100.00%,18.20%,21.80%,,-6.20%,45.00%,109.10%,112.16,72.07,19.10%,196.81%,32.90%,-0.49%,13.02%,26.88,-83.30%,-320.20%,-101.20%,3.8,2.8,4.35,4.35,22.50%,,,1.61%,9.57%,-8.70%,-46.61%,-23.64%,-27.17%,1.06,0.06,4.54%,4.41%,1.71%,2.27%,-29.52%,-10.07%,11.61%,-56.75%,13.64%,53.64,-0.79%,0.00%,2.5,349.01,0.39,1.25,-0.79%,80311,7/31/2014 16:30
HNT,"Health Net, Inc.",Healthcare,Health Care Plans,USA,3743.25,15.96,14.55,0.97,0.31,2.05,1.65,8.04,,0.00%,2.92,583.90%,39.32%,19.20%,16.50%,-6.40%,254.80%,24.90%,80.31,78.66,2.90%,0.39%,95.50%,0.54%,2.19%,1.78,5.50%,14.00%,9.50%,1.7,1.7,0.27,0.27,15.60%,2.70%,2.00%,2.24%,9.31%,16.38%,35.69%,51.38%,57.09%,1.04,0.97,1.66%,2.25%,5.03%,7.38%,28.72%,-2.23%,16.68%,-2.23%,82.64%,64.54,-0.73%,0.26%,2.5,965.87,0.71,46.39,-0.47%,405803,8/6/2014 8:30
HOFT,Hooker Furniture Corp.,Consumer Goods,Home Furnishings & Fixtures,USA,159.53,18.55,11.2,1.09,0.68,1.16,5.03,44.31,2.70%,40.00%,0.8,-8.80%,23.83%,3.30%,17.00%,-2.70%,30.00%,9.10%,10.75,10.49,1.80%,3.20%,80.80%,-0.38%,1.43%,2.48,6.80%,8.00%,5.90%,7.9,4.8,0,0,24.20%,5.80%,4.60%,-0.80%,0.47%,7.77%,0.41%,6.15%,-9.84%,1.57,0.44,2.34%,3.06%,-0.04%,-1.54%,-1.02%,-13.33%,6.20%,-14.18%,15.98%,49.42,1.75%,-0.13%,2,60.58,0.05,15.08,1.62%,1746,9/1/2014
HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,USA,13804.36,16.32,14.5,1.12,2.2,4.11,13.06,18.97,1.73%,24.80%,3.89,20.60%,15.39%,2.40%,14.55%,-0.20%,33.90%,11.50%,217.46,216.37,0.20%,1.87%,85.90%,0.39%,3.73%,4.93,8.90%,27.60%,9.40%,1.8,1.6,1.13,1.59,40.60%,21.30%,13.70%,-0.31%,1.88%,-11.01%,-4.84%,5.47%,-7.57%,1.51,0.81,0.94%,1.27%,2.08%,-1.23%,-4.37%,-10.79%,6.03%,-13.12%,7.57%,52.8,0.66%,0.41%,2.3,1635.98,0.88,64.16,1.07%,848022,7/22/2014 8:30
HOLD,AdvisorShares Sage Core Reserves ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23%,0.12%,0.04%,0.24%,,0.20%,,0.08,0.02%,0.01%,0.11%,0.07%,0.16%,-0.12%,0.23%,-0.13%,1.22%,55.36,0.00%,0.00%,,0.73,0.22,99.72,0.00%,0,
HOLI,"HollySys Automation Technologies, Ltd.",Industrial Goods,Industrial Electrical Equipment,China,1295.21,18.48,11.82,2.72,2.48,2.63,6.8,16.93,,0.00%,1.19,30.40%,12.04%,42.50%,6.80%,27.00%,63.60%,40.10%,58.9,36.75,,,52.90%,11.27%,1.82%,1.69,8.10%,15.20%,15.00%,1.8,1.7,0.03,0.06,33.70%,18.60%,13.40%,-4.02%,-1.08%,2.71%,9.95%,66.09%,16.16%,2.06,0.58,2.45%,2.60%,-2.18%,-2.38%,9.03%,-10.08%,3.46%,-11.77%,67.20%,45.93,0.45%,0.14%,1.7,397.61,0.3,22.12,0.59%,71521,8/13/2014 16:30
